"On the whole are you very satisfied, fairly satisfied, not very satisfied or not at all satisfied with the life you lead ?"
Belgium
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
11/2012,5% ,53% ,30% ,11% ,1% 
05/2013,6% ,55% ,29% ,9% ,1% 

Luxembourg
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
09/1973,30% ,49% ,9% ,2% ,0% 
05/1975,26% ,45% ,15% ,7% ,7% 
10/1975,39% ,49% ,9% ,2% ,1% 
05/1976,30% ,58% ,7% ,1% ,4% 
11/1976,31% ,57% ,7% ,4% ,1% 
06/1977,39% ,51% ,9% ,1% ,0% 
10/1977,38% ,51% ,9% ,1% ,0% 
05/1978,40% ,50% ,9% ,1% ,0% 
10/1978,34% ,49% ,13% ,2% ,2% 
04/1979,33% ,60% ,5% ,1% ,1% 
04/1980,35% ,57% ,7% ,0% ,1% 
05/1981,40% ,54% ,5% ,1% ,0% 
05/1982,39% ,48% ,9% ,3% ,1% 
10/1982,35% ,56% ,5% ,3% ,1% 
04/1983,38% ,54% ,5% ,1% ,2% 
11/1983,37% ,52% ,6% ,3% ,2% 
04/1984,38% ,51% ,6% ,3% ,2% 
11/1984,32% ,59% ,7% ,1% ,1% 
04/1985,39% ,53% ,7% ,1% ,0% 
11/1985,41% ,51% ,5% ,2% ,1% 
03/1986,41% ,52% ,5% ,1% ,1% 
11/1986,39% ,53% ,5% ,2% ,1% 
05/1987,40% ,54% ,3% ,1% ,2% 
11/1987,37% ,53% ,4% ,4% ,2% 
04/1988,36% ,56% ,5% ,1% ,2% 
11/1988,39% ,44% ,16% ,0% ,1% 
03/1989,38% ,59% ,2% ,1% ,0% 
07/1989,33% ,56% ,8% ,2% ,1% 
11/1989,37% ,56% ,5% ,0.50% ,0.80% 
04/1990,46% ,46% ,7% ,1% ,0.50% 
11/1990,44% ,51% ,4% ,0.20% ,0.30% 
03/1991,52% ,41% ,5% ,0.30% ,1% 
10/1991,44% ,50% ,3% ,1% ,1% 
04/1992,42% ,53% ,4% ,0.50% ,0% 
10/1992,42% ,51% ,6% ,0.10% ,0.80% 
04/1993,37% ,56% ,5% ,1% ,1% 
11/1993,40% ,52% ,6% ,2% ,0.50% 
05/1994,43% ,52% ,4% ,0.50% ,0.50% 
12/1994,39% ,55% ,4% ,1% ,1% 
06/1995,45% ,49% ,5% ,1% ,0.10% 
01/1996,37% ,56% ,6% ,0.80% ,1% 
04/1997,38% ,55% ,5% ,0.60% ,0.50% 
05/1998,40% ,49% ,7% ,3% ,1% 
11/1999,39% ,51% ,7% ,2% ,0.60% 
06/2000,33% ,57% ,9% ,0.70% ,0.60% 
01/2001,37% ,52% ,7% ,2% ,2% 
05/2001,34% ,58% ,6% ,1% ,1% 
11/2001,37% ,56% ,5% ,1% ,0.80% 
11/2003,37.50% ,49.40% ,9.20% ,2.10% ,1.80% 
10/2004,51% ,44% ,4% ,1% ,0% 
06/2005,49% ,46% ,4% ,1% ,0% 
10/2005,48% ,45% ,6% ,2% ,0% 
04/2006,48% ,44% ,6% ,2% ,1% 
09/2006,45% ,48% ,6% ,1% ,0% 
05/2007,46% ,46% ,6% ,2% ,0% 
10/2007,46% ,48% ,5% ,1% ,0% 
04/2008,47% ,48% ,4% ,1% ,0% 
10/2008,41% ,49% ,7% ,3% ,0% 
06/2009,40% ,56% ,3% ,1% ,0% 
11/2009,43% ,53% ,4% ,0% ,0% 
06/2010,39% ,57% ,3% ,1% ,0% 
11/2010,40% ,55% ,4% ,1% ,0% 
05/2011,42% ,56% ,1% ,1% ,0% 
11/2011,37% ,58% ,3% ,2% ,0% 
05/2012,41% ,53% ,4% ,2% ,0% 
11/2012,34% ,62% ,3% ,1% ,0% 
05/2013,35% ,58% ,5% ,2% ,0% 

The Netherlands
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
09/1973,41% ,52% ,5% ,1% ,1% 
05/1975,33% ,52% ,7% ,2% ,6% 
10/1975,34% ,52% ,6% ,2% ,6% 
05/1976,41% ,48% ,9% ,1% ,1% 
11/1976,38% ,52% ,7% ,2% ,1% 
06/1977,38% ,54% ,6% ,1% ,1% 
10/1977,44% ,48% ,5% ,2% ,1% 
05/1978,46% ,47% ,6% ,1% ,0% 
10/1978,44% ,48% ,5% ,2% ,1% 
04/1979,46% ,49% ,4% ,0% ,1% 
04/1980,47% ,48% ,4% ,1% ,0% 
05/1981,44% ,48% ,6% ,2% ,0% 
05/1982,42% ,52% ,4% ,1% ,1% 
10/1982,46% ,44% ,7% ,2% ,1% 
04/1983,39% ,53% ,6% ,2% ,0% 
11/1983,38% ,51% ,7% ,3% ,1% 
04/1984,44% ,48% ,6% ,1% ,1% 
11/1984,47% ,45% ,5% ,1% ,2% 
04/1985,40% ,50% ,6% ,2% ,2% 
11/1985,35% ,56% ,7% ,2% ,0% 
03/1986,41% ,53% ,4% ,1% ,1% 
11/1986,35% ,55% ,8% ,1% ,1% 
05/1987,41% ,51% ,6% ,1% ,1% 
11/1987,35% ,56% ,6% ,2% ,1% 
04/1988,45% ,48% ,5% ,1% ,1% 
11/1988,31% ,58% ,9% ,1% ,1% 
03/1989,49% ,46% ,4% ,1% ,0% 
07/1989,49% ,45% ,5% ,1% ,0% 
11/1989,42% ,51% ,4% ,1% ,2% 
04/1990,48% ,45% ,6% ,0.40% ,0.70% 
11/1990,44% ,51% ,4% ,0.20% ,0.30% 
03/1991,50% ,45% ,4% ,0.80% ,0.70% 
10/1991,47% ,47% ,5% ,0.60% ,0.60% 
04/1992,49% ,43% ,6% ,0.40% ,0.80% 
10/1992,50% ,44% ,5% ,1% ,0.20% 
04/1993,47% ,47% ,5% ,0.70% ,0.40% 
11/1993,45% ,48% ,5% ,1% ,0.40% 
05/1994,47% ,47% ,5% ,1% ,0.20% 
12/1994,39% ,53% ,6% ,1% ,0.60% 
06/1995,48% ,46% ,5% ,1% ,0% 
01/1996,46% ,48% ,4% ,1% ,0.30% 
04/1997,46% ,46% ,6% ,0.80% ,0.20% 
05/1998,44% ,51% ,4% ,1% ,0% 
11/1999,37% ,57% ,4% ,0.80% ,0.20% 
06/2000,32% ,59% ,8% ,1% ,0% 
01/2001,44% ,49% ,4% ,1% ,0.60% 
05/2001,48% ,46% ,5% ,0.80% ,0.30% 
11/2001,46% ,47% ,5% ,1% ,0.40% 
11/2003,39.50% ,50.60% ,8.20% ,1.60% ,0.10% 
10/2004,44% ,48% ,6% ,2% ,0% 
06/2005,47% ,48% ,4% ,1% ,0% 
10/2005,47% ,49% ,4% ,1% ,0% 
04/2006,44% ,51% ,3% ,1% ,0% 
09/2006,50% ,45% ,4% ,1% ,0% 
05/2007,51% ,46% ,3% ,0% ,0% 
10/2007,52% ,44% ,3% ,1% ,0% 
04/2008,51% ,45% ,3% ,1% ,0% 
10/2008,54% ,44% ,2% ,0% ,0% 
06/2009,52% ,44% ,3% ,1% ,0% 
11/2009,50% ,45% ,4% ,1% ,0% 
06/2010,48% ,47% ,4% ,1% ,0% 
11/2010,53% ,43% ,4% ,0% ,0% 
05/2011,51% ,45% ,3% ,1% ,0% 
11/2011,53% ,44% ,3% ,0% ,0% 
05/2012,50% ,44% ,5% ,1% ,0% 
11/2012,47% ,47% ,5% ,1% ,0% 
05/2013,47% ,48% ,4% ,1% ,0% 

Austria
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
09/1973,0% ,0% ,0% ,0% ,0% 
05/1975,0% ,0% ,0% ,0% ,0% 
10/1975,0% ,0% ,0% ,0% ,0% 
05/1976,0% ,0% ,0% ,0% ,0% 
11/1976,0% ,0% ,0% ,0% ,0% 
06/1977,0% ,0% ,0% ,0% ,0% 
10/1977,0% ,0% ,0% ,0% ,0% 
05/1978,0% ,0% ,0% ,0% ,0% 
10/1978,0% ,0% ,0% ,0% ,0% 
04/1979,0% ,0% ,0% ,0% ,0% 
04/1980,0% ,0% ,0% ,0% ,0% 
05/1981,0% ,0% ,0% ,0% ,0% 
05/1982,0% ,0% ,0% ,0% ,0% 
10/1982,0% ,0% ,0% ,0% ,0% 
04/1983,0% ,0% ,0% ,0% ,0% 
11/1983,0% ,0% ,0% ,0% ,0% 
04/1984,0% ,0% ,0% ,0% ,0% 
11/1984,0% ,0% ,0% ,0% ,0% 
04/1985,0% ,0% ,0% ,0% ,0% 
11/1985,0% ,0% ,0% ,0% ,0% 
03/1986,0% ,0% ,0% ,0% ,0% 
11/1986,0% ,0% ,0% ,0% ,0% 
05/1987,0% ,0% ,0% ,0% ,0% 
11/1987,0% ,0% ,0% ,0% ,0% 
04/1988,0% ,0% ,0% ,0% ,0% 
11/1988,0% ,0% ,0% ,0% ,0% 
03/1989,0% ,0% ,0% ,0% ,0% 
07/1989,0% ,0% ,0% ,0% ,0% 
11/1989,0% ,0% ,0% ,0% ,0% 
04/1990,0% ,0% ,0% ,0% ,0% 
11/1990,0% ,0% ,0% ,0% ,0% 
03/1991,0% ,0% ,0% ,0% ,0% 
10/1991,0% ,0% ,0% ,0% ,0% 
04/1992,0% ,0% ,0% ,0% ,0% 
10/1992,0% ,0% ,0% ,0% ,0% 
04/1993,0% ,0% ,0% ,0% ,0% 
11/1993,0% ,0% ,0% ,0% ,0% 
05/1994,0% ,0% ,0% ,0% ,0% 
12/1994,0% ,0% ,0% ,0% ,0% 
06/1995,33% ,55% ,8% ,1% ,2% 
01/1996,29% ,52% ,9% ,2% ,7% 
04/1997,23% ,61% ,11% ,2% ,2% 
05/1998,27% ,56% ,13% ,2% ,1% 
11/1999,26% ,57% ,11% ,2% ,3% 
06/2000,25% ,55% ,14% ,3% ,3% 
01/2001,23% ,58% ,13% ,2% ,3% 
05/2001,24% ,61% ,11% ,2% ,2% 
11/2001,27% ,59% ,10% ,2% ,2% 
11/2003,24.10% ,58.30% ,12.40% ,2.10% ,3% 
10/2004,22% ,63% ,13% ,1% ,1% 
06/2005,19% ,67% ,12% ,1% ,0% 
10/2005,22% ,62% ,13% ,2% ,1% 
04/2006,23% ,62% ,13% ,1% ,1% 
09/2006,17% ,66% ,15% ,1% ,1% 
05/2007,18% ,66% ,14% ,1% ,1% 
10/2007,20% ,67% ,11% ,1% ,1% 
04/2008,18% ,64% ,16% ,1% ,1% 
10/2008,16% ,63% ,19% ,1% ,1% 
06/2009,18% ,65% ,15% ,2% ,0% 
11/2009,21% ,64% ,13% ,2% ,0% 
06/2010,22% ,63% ,13% ,1% ,1% 
11/2010,19% ,65% ,13% ,2% ,1% 
05/2011,20% ,67% ,12% ,1% ,0% 
11/2011,20% ,63% ,14% ,2% ,1% 
05/2012,21% ,64% ,13% ,2% ,0% 
11/2012,21% ,64% ,14% ,1% ,0% 
05/2013,21% ,63% ,14% ,1% ,1% 

Portugal
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
09/1973,0% ,0% ,0% ,0% ,0% 
05/1975,0% ,0% ,0% ,0% ,0% 
10/1975,0% ,0% ,0% ,0% ,0% 
05/1976,0% ,0% ,0% ,0% ,0% 
11/1976,0% ,0% ,0% ,0% ,0% 
06/1977,0% ,0% ,0% ,0% ,0% 
10/1977,0% ,0% ,0% ,0% ,0% 
05/1978,0% ,0% ,0% ,0% ,0% 
10/1978,0% ,0% ,0% ,0% ,0% 
04/1979,0% ,0% ,0% ,0% ,0% 
04/1980,0% ,0% ,0% ,0% ,0% 
05/1981,0% ,0% ,0% ,0% ,0% 
05/1982,0% ,0% ,0% ,0% ,0% 
10/1982,0% ,0% ,0% ,0% ,0% 
04/1983,0% ,0% ,0% ,0% ,0% 
11/1983,0% ,0% ,0% ,0% ,0% 
04/1984,0% ,0% ,0% ,0% ,0% 
11/1984,0% ,0% ,0% ,0% ,0% 
04/1985,0% ,0% ,0% ,0% ,0% 
11/1985,3% ,53% ,28% ,15% ,1% 
03/1986,5% ,57% ,25% ,12% ,1% 
11/1986,5% ,63% ,24% ,7% ,1% 
05/1987,4% ,62% ,25% ,8% ,1% 
11/1987,8% ,67% ,19% ,5% ,1% 
04/1988,6% ,62% ,21% ,10% ,1% 
11/1988,13% ,40% ,39% ,8% ,0% 
03/1989,4% ,67% ,23% ,9% ,0% 
07/1989,5% ,61% ,24% ,9% ,1% 
11/1989,6% ,66% ,21% ,6% ,0.70% 
04/1990,8% ,65% ,18% ,8% ,0.80% 
11/1990,5% ,66% ,19% ,7% ,1% 
03/1991,7% ,65% ,21% ,7% ,0.40% 
10/1991,6% ,67% ,21% ,5% ,0.30% 
04/1992,7% ,68% ,19% ,5% ,0.20% 
10/1992,5% ,69% ,20% ,6% ,0.10% 
04/1993,6% ,61% ,24% ,9% ,0.40% 
11/1993,5% ,62% ,26% ,7% ,0.60% 
05/1994,4% ,64% ,23% ,8% ,0.60% 
12/1994,6% ,66% ,21% ,7% ,0.10% 
06/1995,3% ,62% ,23% ,11% ,0.30% 
01/1996,4% ,66% ,21% ,8% ,2% 
04/1997,6% ,57% ,29% ,7% ,0.80% 
05/1998,5% ,55% ,33% ,7% ,0.50% 
11/1999,4% ,63% ,26% ,6% ,0.70% 
06/2000,3% ,60% ,29% ,7% ,0.80% 
01/2001,5% ,63% ,24% ,7% ,1% 
05/2001,7% ,62% ,25% ,6% ,0.20% 
11/2001,7% ,58% ,30% ,5% ,0.40% 
11/2003,3.70% ,52.10% ,32.70% ,9.80% ,1.70% 
10/2004,3% ,56% ,30% ,9% ,1% 
06/2005,5% ,55% ,29% ,10% ,1% 
10/2005,5% ,51% ,31% ,11% ,1% 
04/2006,4% ,51% ,33% ,12% ,0% 
09/2006,5% ,57% ,28% ,9% ,1% 
05/2007,6% ,56% ,29% ,9% ,0% 
10/2007,4% ,51% ,35% ,10% ,0% 
04/2008,4% ,48% ,38% ,10% ,0% 
10/2008,3% ,43% ,41% ,13% ,0% 
06/2009,2% ,49% ,35% ,13% ,1% 
11/2009,3% ,50% ,36% ,11% ,0% 
06/2010,2% ,42% ,41% ,15% ,0% 
11/2010,4% ,41% ,40% ,15% ,0% 
05/2011,2% ,46% ,37% ,15% ,0% 
11/2011,2% ,42% ,36% ,19% ,1% 
05/2012,2% ,32% ,43% ,23% ,0% 
11/2012,1% ,31% ,47% ,21% ,0% 
05/2013,2% ,31% ,43% ,24% ,0% 

Finland
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
09/1973,0% ,0% ,0% ,0% ,0% 
05/1975,0% ,0% ,0% ,0% ,0% 
10/1975,0% ,0% ,0% ,0% ,0% 
05/1976,0% ,0% ,0% ,0% ,0% 
11/1976,0% ,0% ,0% ,0% ,0% 
06/1977,0% ,0% ,0% ,0% ,0% 
10/1977,0% ,0% ,0% ,0% ,0% 
05/1978,0% ,0% ,0% ,0% ,0% 
10/1978,0% ,0% ,0% ,0% ,0% 
04/1979,0% ,0% ,0% ,0% ,0% 
04/1980,0% ,0% ,0% ,0% ,0% 
05/1981,0% ,0% ,0% ,0% ,0% 
05/1982,0% ,0% ,0% ,0% ,0% 
10/1982,0% ,0% ,0% ,0% ,0% 
04/1983,0% ,0% ,0% ,0% ,0% 
11/1983,0% ,0% ,0% ,0% ,0% 
04/1984,0% ,0% ,0% ,0% ,0% 
11/1984,0% ,0% ,0% ,0% ,0% 
04/1985,0% ,0% ,0% ,0% ,0% 
11/1985,0% ,0% ,0% ,0% ,0% 
03/1986,0% ,0% ,0% ,0% ,0% 
11/1986,0% ,0% ,0% ,0% ,0% 
05/1987,0% ,0% ,0% ,0% ,0% 
11/1987,0% ,0% ,0% ,0% ,0% 
04/1988,0% ,0% ,0% ,0% ,0% 
11/1988,0% ,0% ,0% ,0% ,0% 
03/1989,0% ,0% ,0% ,0% ,0% 
07/1989,0% ,0% ,0% ,0% ,0% 
11/1989,0% ,0% ,0% ,0% ,0% 
04/1990,0% ,0% ,0% ,0% ,0% 
11/1990,0% ,0% ,0% ,0% ,0% 
03/1991,0% ,0% ,0% ,0% ,0% 
10/1991,0% ,0% ,0% ,0% ,0% 
04/1992,0% ,0% ,0% ,0% ,0% 
10/1992,0% ,0% ,0% ,0% ,0% 
04/1993,0% ,0% ,0% ,0% ,0% 
11/1993,0% ,0% ,0% ,0% ,0% 
05/1994,0% ,0% ,0% ,0% ,0% 
12/1994,0% ,0% ,0% ,0% ,0% 
06/1995,26% ,64% ,8% ,2% ,0.20% 
01/1996,27% ,64% ,7% ,2% ,0.20% 
04/1997,28% ,62% ,8% ,1% ,0.20% 
05/1998,25% ,63% ,9% ,3% ,0.30% 
11/1999,25% ,65% ,8% ,1% ,0.10% 
06/2000,22% ,65% ,11% ,2% ,0.40% 
01/2001,24% ,64% ,10% ,2% ,0.40% 
05/2001,23% ,64% ,10% ,2% ,1% 
11/2001,22% ,67% ,9% ,1% ,0.50% 
11/2003,24.50% ,66.20% ,8.60% ,0.70% ,0.10% 
10/2004,37% ,57% ,5% ,1% ,0% 
06/2005,34% ,61% ,4% ,1% ,0% 
10/2005,33% ,60% ,6% ,0% ,0% 
04/2006,33% ,61% ,5% ,1% ,0% 
09/2006,36% ,58% ,5% ,1% ,0% 
05/2007,35% ,59% ,5% ,1% ,0% 
10/2007,32% ,63% ,4% ,1% ,0% 
04/2008,37% ,57% ,5% ,1% ,0% 
10/2008,35% ,60% ,5% ,0% ,0% 
06/2009,38% ,58% ,3% ,1% ,0% 
11/2009,37% ,58% ,4% ,1% ,0% 
06/2010,38% ,57% ,5% ,0% ,0% 
11/2010,31% ,63% ,5% ,1% ,0% 
05/2011,33% ,63% ,4% ,0% ,0% 
11/2011,35% ,59% ,5% ,1% ,0% 
05/2012,33% ,61% ,5% ,1% ,0% 
11/2012,29% ,66% ,4% ,1% ,0% 
05/2013,34% ,60% ,5% ,1% ,0% 

Sweden
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
09/1973,0% ,0% ,0% ,0% ,0% 
05/1975,0% ,0% ,0% ,0% ,0% 
10/1975,0% ,0% ,0% ,0% ,0% 
05/1976,0% ,0% ,0% ,0% ,0% 
11/1976,0% ,0% ,0% ,0% ,0% 
06/1977,0% ,0% ,0% ,0% ,0% 
10/1977,0% ,0% ,0% ,0% ,0% 
05/1978,0% ,0% ,0% ,0% ,0% 
10/1978,0% ,0% ,0% ,0% ,0% 
04/1979,0% ,0% ,0% ,0% ,0% 
04/1980,0% ,0% ,0% ,0% ,0% 
05/1981,0% ,0% ,0% ,0% ,0% 
05/1982,0% ,0% ,0% ,0% ,0% 
10/1982,0% ,0% ,0% ,0% ,0% 
04/1983,0% ,0% ,0% ,0% ,0% 
11/1983,0% ,0% ,0% ,0% ,0% 
04/1984,0% ,0% ,0% ,0% ,0% 
11/1984,0% ,0% ,0% ,0% ,0% 
04/1985,0% ,0% ,0% ,0% ,0% 
11/1985,0% ,0% ,0% ,0% ,0% 
03/1986,0% ,0% ,0% ,0% ,0% 
11/1986,0% ,0% ,0% ,0% ,0% 
05/1987,0% ,0% ,0% ,0% ,0% 
11/1987,0% ,0% ,0% ,0% ,0% 
04/1988,0% ,0% ,0% ,0% ,0% 
11/1988,0% ,0% ,0% ,0% ,0% 
03/1989,0% ,0% ,0% ,0% ,0% 
07/1989,0% ,0% ,0% ,0% ,0% 
11/1989,0% ,0% ,0% ,0% ,0% 
04/1990,0% ,0% ,0% ,0% ,0% 
11/1990,0% ,0% ,0% ,0% ,0% 
03/1991,0% ,0% ,0% ,0% ,0% 
10/1991,0% ,0% ,0% ,0% ,0% 
04/1992,0% ,0% ,0% ,0% ,0% 
10/1992,0% ,0% ,0% ,0% ,0% 
04/1993,0% ,0% ,0% ,0% ,0% 
11/1993,0% ,0% ,0% ,0% ,0% 
05/1994,0% ,0% ,0% ,0% ,0% 
12/1994,0% ,0% ,0% ,0% ,0% 
06/1995,40% ,57% ,3% ,0.30% ,0.10% 
01/1996,35% ,59% ,4% ,1% ,2% 
04/1997,43% ,53% ,3% ,1% ,0.40% 
05/1998,36% ,57% ,6% ,1% ,1% 
11/1999,36% ,59% ,4% ,0.50% ,0.70% 
06/2000,35% ,59% ,4% ,1% ,0.20% 
01/2001,39% ,56% ,5% ,0.40% ,0.20% 
05/2001,41% ,54% ,4% ,1% ,0.10% 
11/2001,41% ,55% ,3% ,0.40% ,0.30% 
11/2003,36.20% ,56.90% ,5.20% ,1.20% ,0.50% 
10/2004,44% ,52% ,3% ,1% ,0% 
06/2005,47% ,49% ,3% ,0% ,0% 
10/2005,47% ,49% ,3% ,0% ,0% 
04/2006,46% ,48% ,5% ,1% ,0% 
09/2006,50% ,48% ,2% ,0% ,0% 
05/2007,49% ,48% ,3% ,0% ,0% 
10/2007,43% ,53% ,3% ,1% ,0% 
04/2008,50% ,45% ,5% ,0% ,0% 
10/2008,48% ,49% ,2% ,1% ,0% 
06/2009,48% ,48% ,3% ,1% ,0% 
11/2009,46% ,50% ,3% ,1% ,0% 
06/2010,51% ,45% ,3% ,1% ,0% 
11/2010,43% ,53% ,3% ,1% ,0% 
05/2011,47% ,48% ,4% ,1% ,0% 
11/2011,51% ,46% ,3% ,0% ,0% 
05/2012,50% ,48% ,2% ,0% ,0% 
11/2012,47% ,49% ,4% ,0% ,0% 
05/2013,48% ,48% ,3% ,0% ,1% 

UK
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
09/1973,33% ,52% ,11% ,3% ,1% 
05/1975,33% ,53% ,9% ,3% ,2% 
10/1975,29% ,53% ,12% ,5% ,1% 
05/1976,28% ,54% ,12% ,5% ,1% 
11/1976,28% ,56% ,12% ,4% ,0% 
06/1977,29% ,53% ,12% ,5% ,1% 
10/1977,30% ,57% ,10% ,3% ,0% 
05/1978,34% ,52% ,11% ,3% ,0% 
10/1978,32% ,55% ,8% ,4% ,1% 
04/1979,27% ,59% ,11% ,3% ,0% 
04/1980,34% ,52% ,9% ,5% ,0% 
05/1981,32% ,52% ,10% ,5% ,1% 
05/1982,36% ,50% ,9% ,4% ,1% 
10/1982,35% ,51% ,10% ,3% ,1% 
04/1983,29% ,58% ,10% ,3% ,0% 
11/1983,29% ,54% ,11% ,5% ,1% 
04/1984,32% ,53% ,10% ,3% ,2% 
11/1984,30% ,56% ,10% ,3% ,1% 
04/1985,33% ,54% ,9% ,4% ,0% 
11/1985,30% ,55% ,11% ,4% ,0% 
03/1986,29% ,56% ,11% ,3% ,1% 
11/1986,30% ,56% ,9% ,5% ,0% 
05/1987,29% ,56% ,11% ,3% ,1% 
11/1987,32% ,53% ,10% ,4% ,1% 
04/1988,34% ,54% ,9% ,2% ,1% 
11/1988,21% ,48% ,26% ,5% ,0% 
03/1989,34% ,55% ,8% ,3% ,0% 
07/1989,34% ,52% ,11% ,3% ,0% 
11/1989,35% ,53% ,8% ,3% ,0.70% 
04/1990,33% ,54% ,10% ,3% ,0.30% 
11/1990,25% ,60% ,10% ,4% ,0.60% 
03/1991,29% ,58% ,9% ,4% ,0% 
10/1991,32% ,53% ,10% ,4% ,1% 
04/1992,31% ,54% ,11% ,4% ,0.30% 
10/1992,30% ,54% ,11% ,4% ,0.50% 
04/1993,29% ,57% ,9% ,4% ,0.30% 
11/1993,31% ,56% ,11% ,3% ,0.20% 
05/1994,32% ,56% ,9% ,3% ,0.10% 
12/1994,32% ,55% ,10% ,3% ,0.40% 
06/1995,29% ,55% ,12% ,3% ,0.30% 
01/1996,29% ,60% ,8% ,3% ,0.80% 
04/1997,31% ,55% ,10% ,3% ,1% 
05/1998,30% ,56% ,10% ,3% ,1% 
11/1999,25% ,58% ,12% ,3% ,2% 
06/2000,26% ,58% ,12% ,4% ,0.40% 
01/2001,31% ,58% ,8% ,2% ,0.40% 
05/2001,30% ,57% ,10% ,3% ,0.70% 
11/2001,31% ,58% ,8% ,2% ,0.20% 
11/2003,30.90% ,56.50% ,9.20% ,2.80% ,0.50% 
10/2004,33% ,57% ,7% ,2% ,0% 
06/2005,32% ,56% ,10% ,2% ,0% 
10/2005,34% ,56% ,8% ,2% ,0% 
04/2006,34% ,53% ,10% ,3% ,0% 
09/2006,35% ,55% ,8% ,2% ,0% 
05/2007,32% ,57% ,9% ,2% ,0% 
10/2007,33% ,58% ,8% ,1% ,0% 
04/2008,33% ,54% ,9% ,3% ,1% 
10/2008,32% ,55% ,11% ,2% ,0% 
06/2009,37% ,52% ,9% ,2% ,0% 
11/2009,42% ,49% ,7% ,2% ,0% 
06/2010,40% ,52% ,7% ,1% ,0% 
11/2010,35% ,54% ,9% ,2% ,0% 
05/2011,40% ,52% ,5% ,3% ,0% 
11/2011,38% ,49% ,11% ,2% ,0% 
05/2012,39% ,53% ,6% ,2% ,0% 
11/2012,38% ,53% ,7% ,2% ,0% 
05/2013,39% ,51% ,8% ,2% ,0% 

EU
"date","Very satisfied","Fairly satisfied","Not very satisfied","Not at all satisfied","DK - Don't know"
09/1973,21% ,58% ,16% ,4% ,1% 
05/1975,20% ,57% ,16% ,5% ,2% 
10/1975,19% ,56% ,17% ,6% ,2% 
05/1976,20% ,55% ,18% ,6% ,1% 
11/1976,20% ,55% ,18% ,6% ,1% 
06/1977,20% ,55% ,18% ,6% ,1% 
10/1977,22% ,57% ,15% ,5% ,1% 
05/1978,22% ,55% ,16% ,6% ,1% 
10/1978,22% ,57% ,15% ,5% ,1% 
04/1979,21% ,56% ,17% ,5% ,1% 
04/1980,21% ,57% ,16% ,5% ,1% 
05/1981,21% ,55% ,17% ,6% ,1% 
05/1982,24% ,57% ,14% ,4% ,1% 
10/1982,22% ,55% ,17% ,5% ,1% 
04/1983,20% ,59% ,15% ,5% ,1% 
11/1983,18% ,58% ,16% ,6% ,2% 
04/1984,21% ,56% ,16% ,6% ,1% 
11/1984,19% ,60% ,16% ,4% ,1% 
04/1985,23% ,56% ,15% ,5% ,1% 
11/1985,18% ,56% ,19% ,6% ,1% 
03/1986,22% ,58% ,15% ,5% ,1% 
11/1986,19% ,57% ,17% ,6% ,1% 
05/1987,23% ,57% ,15% ,4% ,1% 
11/1987,19% ,56% ,18% ,6% ,1% 
04/1988,23% ,58% ,14% ,4% ,1% 
11/1988,20% ,48% ,26% ,5% ,1% 
03/1989,23% ,60% ,12% ,4% ,1% 
07/1989,24% ,57% ,14% ,4% ,1% 
11/1989,24% ,59% ,13% ,3% ,0.60% 
04/1990,26% ,57% ,12% ,4% ,0.50% 
11/1990,20% ,60% ,13% ,5% ,0.70% 
03/1991,25% ,59% ,12% ,3% ,0.40% 
10/1991,24% ,57% ,14% ,4% ,0.70% 
04/1992,23% ,57% ,15% ,5% ,0.50% 
10/1992,23% ,57% ,15% ,5% ,0.60% 
04/1993,21% ,58% ,15% ,5% ,0.40% 
11/1993,20% ,59% ,17% ,4% ,0.30% 
05/1994,21% ,59% ,16% ,4% ,0.50% 
12/1994,20% ,61% ,14% ,4% ,0.50% 
06/1995,21% ,59% ,15% ,4% ,0.60% 
01/1996,20% ,61% ,14% ,4% ,1% 
04/1997,19% ,58% ,17% ,5% ,1% 
05/1998,19% ,59% ,17% ,5% ,1% 
11/1999,20% ,62% ,14% ,3% ,1% 
06/2000,17% ,60% ,18% ,4% ,0.80% 
01/2001,21% ,62% ,13% ,3% ,0.70% 
05/2001,21% ,62% ,14% ,3% ,1% 
11/2001,21% ,62% ,13% ,3% ,0.80% 
11/2003,19.40% ,59.50% ,16.50% ,3.50% ,1.20% 
10/2004,23% ,58% ,15% ,4% ,0% 
06/2005,21% ,60% ,15% ,4% ,1% 
10/2005,21% ,59% ,16% ,4% ,0% 
04/2006,21% ,60% ,15% ,4% ,0% 
09/2006,22% ,60% ,14% ,4% ,0% 
05/2007,21% ,59% ,15% ,4% ,1% 
10/2007,21% ,59% ,16% ,4% ,0% 
